Term	Turkish	
card_animal_pen_description	5 hayvan alabilir	
card_animal_pen_name	Hayvan ağılı	
card_apple_description	Doktorları uzak tutar	
card_apple_name	Elma	
card_apple_tree_description	Elmalı bir ağaç	
card_apple_tree_name	Elma ağacı	
card_apple_tree_status	Elma ağacına vurmak	
card_bear_description	Yumuşak ama tehlikeli	
card_bear_name	Ayı	
card_berry_description	Yaban mersini çalısında bulunan basit bir yiyecek	
card_berry_name	Yaban mersini	
card_berrybush_description	Lezzetli meyveleri olan bir çalı	
card_berrybush_name	Yaban mersini çalısı	
card_berrybush_status	Yaban mersini toplamak	
card_bone_description	Gerçek: Bir iskelet bunlardan birçoğundan oluşur	
card_bone_name	Kemik	
card_brick_description	Güçlü bir yapı malzemesi	
card_brick_name	Tuğla	
card_brickyard_description	Taşı hızlıca tuğlaya çevirir	
card_brickyard_name	Tuğla fabrikası	
card_campfire_description	Yemek pişirmek için kullanılabilir - sıcak ve samimi gözüküyor	
card_campfire_name	Kamp ateşi	
card_carrot_description	En çıtır sebze	
card_carrot_name	Havuç	
card_catacombs_description	Gizemli bir nesne içerdiği söyleniyor	
card_catacombs_name	Yeraltı mezarları (katakom)	
card_catacombs_status	Katakompları keşfetmek	
card_chicken_description	Sözde dinozor soyundan geliyor. Bence hiç benzemiyor	
card_chicken_name	Tavuk	
card_cooked_meat_description	Orta az pişmiş	
card_cooked_meat_name	Pişmiş et	
card_corpse_description	Ölü bir insan	
card_corpse_name	Ceset	
card_cow_description	MÖÖÖÖÖ!	
card_cow_name	İnek	
card_demon_description	Son Boss	
card_demon_name	İblis	
card_dog_description	İnsanlığın gerçek en iyi dostu. Bir insanın yaptığı her şeyi yapabilir, sadece biraz daha yavaş!	
card_dog_name	Köpek	
card_egg_description	Çiğ yenmez: Teşekkürler salmonella	
card_egg_name	Yumurta	
card_explorer_description	Mekanları çok hızlı keşfeder, ama diğer işlerde biraz daha yavaştır	
card_explorer_name	Kaşif	
card_farm_description	Gelişmiş bir yiyecek üretim binası	
card_farm_name	Çiftlik	
card_flint_description	Ateş yakmak için kullanılır	
card_flint_name	Çakmaktaşı	
card_forest_description	Sevimli ama canavarların da bulunduğu bir yer	
card_forest_name	Orman	
card_forest_status	Ormanı keşfetmek	
card_frittata_description	Lezzetli! Çatalla ye	
card_frittata_name	Omlet (frittata)	
card_fruit_salad_description	Klasik bir antik yemek	
card_fruit_salad_name	Meyve salatası	
card_garden_description	Basit bir yiyecek üretim binası	
card_garden_name	Bahçe	
card_giant_rat_description	Küçük bir farenin büyük versiyonu	
card_giant_rat_name	Dev fare	
card_goblet_description	Gizemli bir nesne	
card_goblet_name	Altın kupa	
card_goblin_description	Kötü duruşlu bir canavar	
card_goblin_name	Goblin	
card_gold_description	İnsanlığın en iyi arkadaşı	
card_gold_name	Para	
card_graveyard_description	Normal bir bahçeden çok farklı	
card_graveyard_name	Mezarlık	
card_graveyard_status	Mezarlığı keşfetmek	
card_house_description	Yaşamak için güzel bir yer	
card_house_name	Ev	
card_iron_bar_description	Parlak, değerli bir malzeme	
card_iron_bar_name	Demir külçesi	
card_iron_deposit_description	Demir cevheri içerir	
card_iron_deposit_name	Demir yatağı	
card_iron_deposit_status	Yatağa vurmak	
card_iron_ore_description	Demir külçesine dönüştürülebilir	
card_iron_ore_name	Demir cevheri	
